20.000000, 30.000000,
18.533333, 31.816668, Cultural
19.736111, 37.443054, Natural
21.483889, 39.187500, Cultural
14.130190, 38.718609, Cultural
13.183333, 38.066666, Natural
12.606920, 37.466171, Cultural
12.029350, 39.040421, Cultural
8.434910, 38.612099, Cultural
5.300000, 37.400002, Cultural
4.800000, 35.966667, Cultural
3.051306, 36.503666, Natural
4.000000, 29.250000, Natural
2.000000, 28.500000, Natural
0.916667, 29.166666, Natural
0.223611, 29.924166, Natural
-1.080556, 29.661388, Natural
-2.500000, 28.750000, Natural
0.348611, 32.551388, Cultural
-0.442500, 36.240002, Natural
-0.155000, 37.315556, Natural
-2.333330, 34.566669, Natural
-3.187220, 35.540829, Mixed
-4.724444, 35.833889, Cultural
-3.066670, 37.366669, Natural
-2.284444, 40.852501, Cultural
-3.931944, 39.596111, Cultural
-4.062778, 39.679443, Cultural
-6.163060, 39.189171, Cultural
-8.957780, 39.522781, Cultural
-9.000000, 37.400002, Natural
-14.033330, 34.883331, Natural
-14.293333, 34.279167, Cultural
-15.819445, 29.408056, Natural
-22.192499, 29.238890, Cultural
-26.860001, 27.260000, Natural
-20.500000, 28.500000, Cultural
-20.158333, 28.376667, Cultural
-17.924530, 25.855391, Natural
-19.283333, 22.900000, Natural
-18.750000, 21.733334, Cultural
-24.885279, 15.407778, Natural
-28.600000, 17.203888, Cultural
20.000000, 30.000000,
